Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10,Fold_11,Fold_12,Fold_13,Fold_14,Fold_15,Fold_16,Fold_17,Fold_18,Fold_19,Fold_20,Fold_21,Fold_22,Fold_23,Fold_24,Fold_25,Fold_26,Fold_27,Fold_28,Fold_29,Fold_30,Fold_31,Fold_32,Fold_33,Fold_34,Fold_35,Fold_36,Fold_37,Fold_38,Fold_39,Fold_40,Fold_41,Fold_42,Fold_43,Fold_44,Fold_45,Fold_46,Fold_47,Fold_48,Fold_49,Fold_50,Fold_51,Fold_52,Fold_53,Fold_54,Fold_55,Fold_56,Fold_57,Fold_58,Fold_59,Fold_60,Fold_61,Fold_62,Fold_63,Fold_64,Fold_65,Fold_66,Fold_67,Fold_68
28925038.559999995,29068797.599999994,29113809.229999993,29886236.06,29916630.53900001,30143525.320000004,30531121.359999992,30493979.03000001,30699704.0,30324669.0,31312900.0,32030744.0,31382917.0,30766760.0,30500299.0,31181133.0,31735736.0,32135735.0,32654491.0,32304926.0,31855946.27,31730940.65,32118714.86,31952656.29,32299963.39,31742987.79,32150352.03,33013528.63,32964086.69,33673777.379999995,33410166.509999998,31559278.490000002,30666661.8,30495142.71,31977749.51,32042792.8,30945452.900000002,30715169.95,31324991.23,32262205.6,32716665.810000002,33419533.139999997,33616820.2,34123194.7,33360460.71,33729757.75,35116881.82,35025860.489999995,34296978.0,34169459.0,33849349.0,34713394.230000004,35182271.010000005,35188924.99,35077981.26,35956439.4,35873744.260000005,35444916.66,36350690.05,36048318.05,35565987.39,35159573.72,35417292.620000005,36335812.84,36965189.34,36743770.379999995,36368389.769999996,36741948.78
29068797.599999994,29113809.229999993,29886236.06,29916630.53900001,30143525.320000004,30531121.359999992,30493979.03000001,30699704.0,30324669.0,31312900.0,32030744.0,31382917.0,30766760.0,30500299.0,31181133.0,31735736.0,32135735.0,32654491.0,32304926.0,31855946.27,31730940.65,32118714.86,31952656.29,32299963.39,31742987.79,32150352.03,33013528.63,32964086.69,33673777.379999995,33410166.509999998,31559278.490000002,30666661.8,30495142.71,31977749.51,32042792.8,30945452.900000002,30715169.95,31324991.23,32262205.6,32716665.810000002,33419533.139999997,33616820.2,34123194.7,33360460.71,33729757.75,35116881.82,35025860.489999995,34296978.0,34169459.0,33849349.0,34713394.230000004,35182271.010000005,35188924.99,35077981.26,35956439.4,35873744.260000005,35444916.66,36350690.05,36048318.05,35565987.39,35159573.72,35417292.620000005,36335812.84,36965189.34,36743770.379999995,36368389.769999996,36741948.78,36305167.29000001
29113809.229999993,29886236.06,29916630.53900001,30143525.320000004,30531121.359999992,30493979.03000001,30699704.0,30324669.0,31312900.0,32030744.0,31382917.0,30766760.0,30500299.0,31181133.0,31735736.0,32135735.0,32654491.0,32304926.0,31855946.27,31730940.65,32118714.86,31952656.29,32299963.39,31742987.79,32150352.03,33013528.63,32964086.69,33673777.379999995,33410166.509999998,31559278.490000002,30666661.8,30495142.71,31977749.51,32042792.8,30945452.900000002,30715169.95,31324991.23,32262205.6,32716665.810000002,33419533.139999997,33616820.2,34123194.7,33360460.71,33729757.75,35116881.82,35025860.489999995,34296978.0,34169459.0,33849349.0,34713394.230000004,35182271.010000005,35188924.99,35077981.26,35956439.4,35873744.260000005,35444916.66,36350690.05,36048318.05,35565987.39,35159573.72,35417292.620000005,36335812.84,36965189.34,36743770.379999995,36368389.769999996,36741948.78,36305167.29000001,36888068.019999996
29886236.06,29916630.53900001,30143525.320000004,30531121.359999992,30493979.03000001,30699704.0,30324669.0,31312900.0,32030744.0,31382917.0,30766760.0,30500299.0,31181133.0,31735736.0,32135735.0,32654491.0,32304926.0,31855946.27,31730940.65,32118714.86,31952656.29,32299963.39,31742987.79,32150352.03,33013528.63,32964086.69,33673777.379999995,33410166.509999998,31559278.490000002,30666661.8,30495142.71,31977749.51,32042792.8,30945452.900000002,30715169.95,31324991.23,32262205.6,32716665.810000002,33419533.139999997,33616820.2,34123194.7,33360460.71,33729757.75,35116881.82,35025860.489999995,34296978.0,34169459.0,33849349.0,34713394.230000004,35182271.010000005,35188924.99,35077981.26,35956439.4,35873744.260000005,35444916.66,36350690.05,36048318.05,35565987.39,35159573.72,35417292.620000005,36335812.84,36965189.34,36743770.379999995,36368389.769999996,36741948.78,36305167.29000001,36888068.019999996,38635573.72
29916630.53900001,30143525.320000004,30531121.359999992,30493979.03000001,30699704.0,30324669.0,31312900.0,32030744.0,31382917.0,30766760.0,30500299.0,31181133.0,31735736.0,32135735.0,32654491.0,32304926.0,31855946.27,31730940.65,32118714.86,31952656.29,32299963.39,31742987.79,32150352.03,33013528.63,32964086.69,33673777.379999995,33410166.509999998,31559278.490000002,30666661.8,30495142.71,31977749.51,32042792.8,30945452.900000002,30715169.95,31324991.23,32262205.6,32716665.810000002,33419533.139999997,33616820.2,34123194.7,33360460.71,33729757.75,35116881.82,35025860.489999995,34296978.0,34169459.0,33849349.0,34713394.230000004,35182271.010000005,35188924.99,35077981.26,35956439.4,35873744.260000005,35444916.66,36350690.05,36048318.05,35565987.39,35159573.72,35417292.620000005,36335812.84,36965189.34,36743770.379999995,36368389.769999996,36741948.78,36305167.29000001,36888068.019999996,38635573.72,37995869.09
30143525.320000004,30531121.359999992,30493979.03000001,30699704.0,30324669.0,31312900.0,32030744.0,31382917.0,30766760.0,30500299.0,31181133.0,31735736.0,32135735.0,32654491.0,32304926.0,31855946.27,31730940.65,32118714.86,31952656.29,32299963.39,31742987.79,32150352.03,33013528.63,32964086.69,33673777.379999995,33410166.509999998,31559278.490000002,30666661.8,30495142.71,31977749.51,32042792.8,30945452.900000002,30715169.95,31324991.23,32262205.6,32716665.810000002,33419533.139999997,33616820.2,34123194.7,33360460.71,33729757.75,35116881.82,35025860.489999995,34296978.0,34169459.0,33849349.0,34713394.230000004,35182271.010000005,35188924.99,35077981.26,35956439.4,35873744.260000005,35444916.66,36350690.05,36048318.05,35565987.39,35159573.72,35417292.620000005,36335812.84,36965189.34,36743770.379999995,36368389.769999996,36741948.78,36305167.29000001,36888068.019999996,38635573.72,37995869.09,36810191.03
30531121.359999992,30493979.03000001,30699704.0,30324669.0,31312900.0,32030744.0,31382917.0,30766760.0,30500299.0,31181133.0,31735736.0,32135735.0,32654491.0,32304926.0,31855946.27,31730940.65,32118714.86,31952656.29,32299963.39,31742987.79,32150352.03,33013528.63,32964086.69,33673777.379999995,33410166.509999998,31559278.490000002,30666661.8,30495142.71,31977749.51,32042792.8,30945452.900000002,30715169.95,31324991.23,32262205.6,32716665.810000002,33419533.139999997,33616820.2,34123194.7,33360460.71,33729757.75,35116881.82,35025860.489999995,34296978.0,34169459.0,33849349.0,34713394.230000004,35182271.010000005,35188924.99,35077981.26,35956439.4,35873744.260000005,35444916.66,36350690.05,36048318.05,35565987.39,35159573.72,35417292.620000005,36335812.84,36965189.34,36743770.379999995,36368389.769999996,36741948.78,36305167.29000001,36888068.019999996,38635573.72,37995869.09,36810191.03,36528393.11
30493979.03000001,30699704.0,30324669.0,31312900.0,32030744.0,31382917.0,30766760.0,30500299.0,31181133.0,31735736.0,32135735.0,32654491.0,32304926.0,31855946.27,31730940.65,32118714.86,31952656.29,32299963.39,31742987.79,32150352.03,33013528.63,32964086.69,33673777.379999995,33410166.509999998,31559278.490000002,30666661.8,30495142.71,31977749.51,32042792.8,30945452.900000002,30715169.95,31324991.23,32262205.6,32716665.810000002,33419533.139999997,33616820.2,34123194.7,33360460.71,33729757.75,35116881.82,35025860.489999995,34296978.0,34169459.0,33849349.0,34713394.230000004,35182271.010000005,35188924.99,35077981.26,35956439.4,35873744.260000005,35444916.66,36350690.05,36048318.05,35565987.39,35159573.72,35417292.620000005,36335812.84,36965189.34,36743770.379999995,36368389.769999996,36741948.78,36305167.29000001,36888068.019999996,38635573.72,37995869.09,36810191.03,36528393.11,35917147.199999996
30699704.0,30324669.0,31312900.0,32030744.0,31382917.0,30766760.0,30500299.0,31181133.0,31735736.0,32135735.0,32654491.0,32304926.0,31855946.27,31730940.65,32118714.86,31952656.29,32299963.39,31742987.79,32150352.03,33013528.63,32964086.69,33673777.379999995,33410166.509999998,31559278.490000002,30666661.8,30495142.71,31977749.51,32042792.8,30945452.900000002,30715169.95,31324991.23,32262205.6,32716665.810000002,33419533.139999997,33616820.2,34123194.7,33360460.71,33729757.75,35116881.82,35025860.489999995,34296978.0,34169459.0,33849349.0,34713394.230000004,35182271.010000005,35188924.99,35077981.26,35956439.4,35873744.260000005,35444916.66,36350690.05,36048318.05,35565987.39,35159573.72,35417292.620000005,36335812.84,36965189.34,36743770.379999995,36368389.769999996,36741948.78,36305167.29000001,36888068.019999996,38635573.72,37995869.09,36810191.03,36528393.11,35917147.199999996,37179602.53
30324669.0,31312900.0,32030744.0,31382917.0,30766760.0,30500299.0,31181133.0,31735736.0,32135735.0,32654491.0,32304926.0,31855946.27,31730940.65,32118714.86,31952656.29,32299963.39,31742987.79,32150352.03,33013528.63,32964086.69,33673777.379999995,33410166.509999998,31559278.490000002,30666661.8,30495142.71,31977749.51,32042792.8,30945452.900000002,30715169.95,31324991.23,32262205.6,32716665.810000002,33419533.139999997,33616820.2,34123194.7,33360460.71,33729757.75,35116881.82,35025860.489999995,34296978.0,34169459.0,33849349.0,34713394.230000004,35182271.010000005,35188924.99,35077981.26,35956439.4,35873744.260000005,35444916.66,36350690.05,36048318.05,35565987.39,35159573.72,35417292.620000005,36335812.84,36965189.34,36743770.379999995,36368389.769999996,36741948.78,36305167.29000001,36888068.019999996,38635573.72,37995869.09,36810191.03,36528393.11,35917147.199999996,37179602.53,37661696.120000005
31312900.0,32030744.0,31382917.0,30766760.0,30500299.0,31181133.0,31735736.0,32135735.0,32654491.0,32304926.0,31855946.27,31730940.65,32118714.86,31952656.29,32299963.39,31742987.79,32150352.03,33013528.63,32964086.69,33673777.379999995,33410166.509999998,31559278.490000002,30666661.8,30495142.71,31977749.51,32042792.8,30945452.900000002,30715169.95,31324991.23,32262205.6,32716665.810000002,33419533.139999997,33616820.2,34123194.7,33360460.71,33729757.75,35116881.82,35025860.489999995,34296978.0,34169459.0,33849349.0,34713394.230000004,35182271.010000005,35188924.99,35077981.26,35956439.4,35873744.260000005,35444916.66,36350690.05,36048318.05,35565987.39,35159573.72,35417292.620000005,36335812.84,36965189.34,36743770.379999995,36368389.769999996,36741948.78,36305167.29000001,36888068.019999996,38635573.72,37995869.09,36810191.03,36528393.11,35917147.199999996,37179602.53,37661696.120000005,37796014.07
32030744.0,31382917.0,30766760.0,30500299.0,31181133.0,31735736.0,32135735.0,32654491.0,32304926.0,31855946.27,31730940.65,32118714.86,31952656.29,32299963.39,31742987.79,32150352.03,33013528.63,32964086.69,33673777.379999995,33410166.509999998,31559278.490000002,30666661.8,30495142.71,31977749.51,32042792.8,30945452.900000002,30715169.95,31324991.23,32262205.6,32716665.810000002,33419533.139999997,33616820.2,34123194.7,33360460.71,33729757.75,35116881.82,35025860.489999995,34296978.0,34169459.0,33849349.0,34713394.230000004,35182271.010000005,35188924.99,35077981.26,35956439.4,35873744.260000005,35444916.66,36350690.05,36048318.05,35565987.39,35159573.72,35417292.620000005,36335812.84,36965189.34,36743770.379999995,36368389.769999996,36741948.78,36305167.29000001,36888068.019999996,38635573.72,37995869.09,36810191.03,36528393.11,35917147.199999996,37179602.53,37661696.120000005,37796014.07,38643584.230000004
31382917.0,30766760.0,30500299.0,31181133.0,31735736.0,32135735.0,32654491.0,32304926.0,31855946.27,31730940.65,32118714.86,31952656.29,32299963.39,31742987.79,32150352.03,33013528.63,32964086.69,33673777.379999995,33410166.509999998,31559278.490000002,30666661.8,30495142.71,31977749.51,32042792.8,30945452.900000002,30715169.95,31324991.23,32262205.6,32716665.810000002,33419533.139999997,33616820.2,34123194.7,33360460.71,33729757.75,35116881.82,35025860.489999995,34296978.0,34169459.0,33849349.0,34713394.230000004,35182271.010000005,35188924.99,35077981.26,35956439.4,35873744.260000005,35444916.66,36350690.05,36048318.05,35565987.39,35159573.72,35417292.620000005,36335812.84,36965189.34,36743770.379999995,36368389.769999996,36741948.78,36305167.29000001,36888068.019999996,38635573.72,37995869.09,36810191.03,36528393.11,35917147.199999996,37179602.53,37661696.120000005,37796014.07,38643584.230000004,37765084.440000005
30766760.0,30500299.0,31181133.0,31735736.0,32135735.0,32654491.0,32304926.0,31855946.27,31730940.65,32118714.86,31952656.29,32299963.39,31742987.79,32150352.03,33013528.63,32964086.69,33673777.379999995,33410166.509999998,31559278.490000002,30666661.8,30495142.71,31977749.51,32042792.8,30945452.900000002,30715169.95,31324991.23,32262205.6,32716665.810000002,33419533.139999997,33616820.2,34123194.7,33360460.71,33729757.75,35116881.82,35025860.489999995,34296978.0,34169459.0,33849349.0,34713394.230000004,35182271.010000005,35188924.99,35077981.26,35956439.4,35873744.260000005,35444916.66,36350690.05,36048318.05,35565987.39,35159573.72,35417292.620000005,36335812.84,36965189.34,36743770.379999995,36368389.769999996,36741948.78,36305167.29000001,36888068.019999996,38635573.72,37995869.09,36810191.03,36528393.11,35917147.199999996,37179602.53,37661696.120000005,37796014.07,38643584.230000004,37765084.440000005,38366809.739999995
30500299.0,31181133.0,31735736.0,32135735.0,32654491.0,32304926.0,31855946.27,31730940.65,32118714.86,31952656.29,32299963.39,31742987.79,32150352.03,33013528.63,32964086.69,33673777.379999995,33410166.509999998,31559278.490000002,30666661.8,30495142.71,31977749.51,32042792.8,30945452.900000002,30715169.95,31324991.23,32262205.6,32716665.810000002,33419533.139999997,33616820.2,34123194.7,33360460.71,33729757.75,35116881.82,35025860.489999995,34296978.0,34169459.0,33849349.0,34713394.230000004,35182271.010000005,35188924.99,35077981.26,35956439.4,35873744.260000005,35444916.66,36350690.05,36048318.05,35565987.39,35159573.72,35417292.620000005,36335812.84,36965189.34,36743770.379999995,36368389.769999996,36741948.78,36305167.29000001,36888068.019999996,38635573.72,37995869.09,36810191.03,36528393.11,35917147.199999996,37179602.53,37661696.120000005,37796014.07,38643584.230000004,37765084.440000005,38366809.739999995,38001415.72
31181133.0,31735736.0,32135735.0,32654491.0,32304926.0,31855946.27,31730940.65,32118714.86,31952656.29,32299963.39,31742987.79,32150352.03,33013528.63,32964086.69,33673777.379999995,33410166.509999998,31559278.490000002,30666661.8,30495142.71,31977749.51,32042792.8,30945452.900000002,30715169.95,31324991.23,32262205.6,32716665.810000002,33419533.139999997,33616820.2,34123194.7,33360460.71,33729757.75,35116881.82,35025860.489999995,34296978.0,34169459.0,33849349.0,34713394.230000004,35182271.010000005,35188924.99,35077981.26,35956439.4,35873744.260000005,35444916.66,36350690.05,36048318.05,35565987.39,35159573.72,35417292.620000005,36335812.84,36965189.34,36743770.379999995,36368389.769999996,36741948.78,36305167.29000001,36888068.019999996,38635573.72,37995869.09,36810191.03,36528393.11,35917147.199999996,37179602.53,37661696.120000005,37796014.07,38643584.230000004,37765084.440000005,38366809.739999995,38001415.72,38442191.55
31735736.0,32135735.0,32654491.0,32304926.0,31855946.27,31730940.65,32118714.86,31952656.29,32299963.39,31742987.79,32150352.03,33013528.63,32964086.69,33673777.379999995,33410166.509999998,31559278.490000002,30666661.8,30495142.71,31977749.51,32042792.8,30945452.900000002,30715169.95,31324991.23,32262205.6,32716665.810000002,33419533.139999997,33616820.2,34123194.7,33360460.71,33729757.75,35116881.82,35025860.489999995,34296978.0,34169459.0,33849349.0,34713394.230000004,35182271.010000005,35188924.99,35077981.26,35956439.4,35873744.260000005,35444916.66,36350690.05,36048318.05,35565987.39,35159573.72,35417292.620000005,36335812.84,36965189.34,36743770.379999995,36368389.769999996,36741948.78,36305167.29000001,36888068.019999996,38635573.72,37995869.09,36810191.03,36528393.11,35917147.199999996,37179602.53,37661696.120000005,37796014.07,38643584.230000004,37765084.440000005,38366809.739999995,38001415.72,38442191.55,38653663.43
32135735.0,32654491.0,32304926.0,31855946.27,31730940.65,32118714.86,31952656.29,32299963.39,31742987.79,32150352.03,33013528.63,32964086.69,33673777.379999995,33410166.509999998,31559278.490000002,30666661.8,30495142.71,31977749.51,32042792.8,30945452.900000002,30715169.95,31324991.23,32262205.6,32716665.810000002,33419533.139999997,33616820.2,34123194.7,33360460.71,33729757.75,35116881.82,35025860.489999995,34296978.0,34169459.0,33849349.0,34713394.230000004,35182271.010000005,35188924.99,35077981.26,35956439.4,35873744.260000005,35444916.66,36350690.05,36048318.05,35565987.39,35159573.72,35417292.620000005,36335812.84,36965189.34,36743770.379999995,36368389.769999996,36741948.78,36305167.29000001,36888068.019999996,38635573.72,37995869.09,36810191.03,36528393.11,35917147.199999996,37179602.53,37661696.120000005,37796014.07,38643584.230000004,37765084.440000005,38366809.739999995,38001415.72,38442191.55,38653663.43,38344861.57
32654491.0,32304926.0,31855946.27,31730940.65,32118714.86,31952656.29,32299963.39,31742987.79,32150352.03,33013528.63,32964086.69,33673777.379999995,33410166.509999998,31559278.490000002,30666661.8,30495142.71,31977749.51,32042792.8,30945452.900000002,30715169.95,31324991.23,32262205.6,32716665.810000002,33419533.139999997,33616820.2,34123194.7,33360460.71,33729757.75,35116881.82,35025860.489999995,34296978.0,34169459.0,33849349.0,34713394.230000004,35182271.010000005,35188924.99,35077981.26,35956439.4,35873744.260000005,35444916.66,36350690.05,36048318.05,35565987.39,35159573.72,35417292.620000005,36335812.84,36965189.34,36743770.379999995,36368389.769999996,36741948.78,36305167.29000001,36888068.019999996,38635573.72,37995869.09,36810191.03,36528393.11,35917147.199999996,37179602.53,37661696.120000005,37796014.07,38643584.230000004,37765084.440000005,38366809.739999995,38001415.72,38442191.55,38653663.43,38344861.57,37627698.010000005
